Fluid_lvl_tank102;Pressure_tank103;Pump_speed;Flowmeter;Tank102_set;Pressure_set;Flow_set;Fluid_lvl_tank101_IO_link;Fluid_lvl_tank102_IO_link;Fluid_lvl_MAX_tank101;Fluid_lvl_MIN_tank101;V101;V102;V103;V104;V106;V107;V108;V109;V112;Cycle_nuber;EStop;Work;State
79.75961;36.475365;0.0;-0.35;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;0;0;1;6;0;1;2
79.59135;208.39421;80.35144;0.27;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;192.8348;75.01473;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;165.54204;72.68166;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;158.40001;71.367195;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;154.829;70.71092;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;150.49277;70.22681;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;149.21739;70.01189;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;147.94203;69.96445;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;148.70726;69.71182;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;147.94203;69.82096;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;149.98262;69.73029;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;147.43188;69.65851;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;147.17682;69.870285;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;147.68697;69.7269;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;149.72754;69.761765;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;150.49277;69.704285;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;148.45218;69.79743;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;148.70726;69.823944;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;148.70726;69.76373;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;147.68697;69.90929;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;148.96233;69.864746;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;147.17682;69.62932;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;147.17682;69.768845;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;150.74783;69.63919;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;151.0029;69.91607;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.59135;146.15652;69.819855;0.0;0.0;150.0;0.0;105;85;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.75961;148.70726;69.92883;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;6;0;1;2
79.75961;148.45218;93.48;0.79;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.45218;95.729996;0.93;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.45218;97.17;0.93;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.45218;98.51;0.93;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.45218;99.770004;0.95;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.19711;100.0;0.95;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.45218;100.0;0.95;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.45218;100.0;0.93;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.70726;100.0;0.93;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.19711;100.0;0.94;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.19711;100.0;0.92;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.45218;100.0;0.92;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.45218;100.0;0.92;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.45218;100.0;0.92;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.45218;100.0;0.93;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
80.09615;148.45218;100.0;0.94;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;6;0;1;3
