Fluid_lvl_tank102;Pressure_tank103;Pump_speed;Flowmeter;Tank102_set;Pressure_set;Flow_set;Fluid_lvl_tank101_IO_link;Fluid_lvl_tank102_IO_link;Fluid_lvl_MAX_tank101;Fluid_lvl_MIN_tank101;V101;V102;V103;V104;V106;V107;V108;V109;V112;Cycle_nuber;EStop;Work;State
80.09615;147.43188;0.0;0.0;0.0;150.0;0.0;105;80;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2
79.75961;150.49277;70.67503;0.31;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.75961;150.74783;70.74889;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.59135;150.74783;70.525444;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.75961;149.21739;70.285675;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.75961;148.70726;70.21236;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.75961;148.70726;70.139046;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.75961;149.72754;70.29022;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.59135;151.0029;70.260475;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.59135;148.70726;69.99467;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.75961;148.96233;70.099464;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.59135;150.23769;69.9408;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.75961;147.43188;70.155876;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.59135;150.23769;69.99882;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.59135;148.19711;69.91811;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.59135;149.21739;70.23863;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.75961;145.90146;69.91359;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.59135;149.47247;69.81536;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.75961;150.74783;69.86374;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.59135;147.68697;70.11313;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.59135;148.19711;70.09488;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.75961;147.17682;69.89281;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.75961;148.19711;69.999214;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
79.59135;147.68697;69.96199;0.0;0.0;150.0;0.0;105;80;0;0;0;0;1;0;0;0;1;0;0;1;0;1;2
